mode,epoch,global step,loss,accuracy,mean_length
train,1,4070,0.9743,64.375,64
train,1,4080,1.0178,60.0,63.8937
train,1,4090,1.1244,57.1875,64
validation,1,4096,1.0022,59.7,64
train,1,4100,1.1339,53.75,64
train,1,4110,0.99,62.1875,64
train,1,4120,1.0602,57.5,64
train,1,4130,1.0003,60.3125,64
train,1,4140,1.0186,57.8125,64
train,1,4150,0.9838,63.4375,64
train,1,4160,1.0058,57.8125,64
train,1,4170,0.9465,62.1875,64
train,1,4180,0.9373,63.75,63.9156
train,1,4190,1.0228,60.625,64
train,1,4200,0.9349,65.0,64
train,1,4210,1.0493,58.75,64
train,1,4220,1.0043,65.0,64
train,1,4230,0.9425,63.4375,64
train,1,4240,1.0374,58.125,64
train,1,4250,1.0111,58.4375,64
train,1,4260,0.9586,63.75,64
train,1,4270,0.9818,59.6875,64
train,1,4280,0.9612,63.75,64
train,1,4290,1.0074,57.8125,64
train,1,4300,1.0177,57.1875,64
train,1,4310,1.015,57.5,64
train,1,4320,1.0307,58.75,64
train,1,4330,0.9937,62.5,64
train,1,4340,1.0192,59.6875,64
train,1,4350,0.9834,63.75,64
train,1,4360,0.9316,63.4375,64
train,1,4370,0.9258,63.4375,64
train,1,4380,1.008,59.6875,63.8469
train,1,4390,1.0722,58.125,64
train,1,4400,0.9653,63.125,64
train,1,4410,0.9369,62.8125,64
train,1,4420,0.9398,62.5,64
train,1,4430,0.9383,62.5,64
train,1,4440,0.8474,67.8125,64
train,1,4450,0.955,63.4375,64
train,1,4460,0.941,61.25,64
train,1,4470,0.8653,66.25,64
train,1,4480,1.0173,59.375,64
train,1,4490,0.9469,62.5,64
train,1,4500,0.9862,58.4375,64
train,1,4510,1.0272,60.625,64
train,1,4520,0.9428,63.125,64
train,1,4530,0.8841,65.3125,64
train,1,4540,1.043,60.3125,64
train,1,4550,0.9066,63.125,63.9969
train,1,4560,0.9103,64.375,64
train,1,4570,0.8827,65.9375,64
train,1,4580,0.8797,64.375,64
train,1,4590,0.8453,69.0625,63.9594
train,1,4600,0.9198,64.375,64
validation,1,4608,0.8883,66.3,64
train,1,4610,0.8896,65.0,64
train,1,4620,0.9543,64.375,64
train,1,4630,0.9789,61.5625,63.9562
train,1,4640,0.9671,61.875,64
train,1,4650,0.9239,61.25,64
train,1,4660,0.8966,64.375,64
train,1,4670,0.8938,64.375,64
train,1,4680,0.8781,63.75,64
train,1,4690,0.93,62.5,64
train,1,4700,0.8878,66.25,64
train,1,4710,0.8332,67.1875,64
train,1,4720,0.9223,64.6875,64
train,1,4730,0.8981,63.4375,64
train,1,4740,0.8687,66.875,64
train,1,4750,0.8346,67.1875,64
train,1,4760,0.8518,67.5,64
train,1,4770,0.9284,62.1875,64
train,1,4780,0.9332,62.1875,64
train,1,4790,0.9446,62.8125,64
train,1,4800,0.9891,59.6875,64
train,1,4810,0.8423,67.8125,64
train,1,4820,0.9219,62.5,64
train,1,4830,0.8888,64.375,64
train,1,4840,0.9507,63.125,64
train,1,4850,0.8818,66.25,64
train,1,4860,0.8749,70.625,64
train,1,4870,0.906,65.625,64
train,1,4880,0.9152,62.1875,64
train,1,4890,0.9497,63.125,64
train,1,4900,0.8568,66.875,64
train,1,4910,0.9101,63.125,64
train,1,4920,0.8616,65.3125,64
train,1,4930,0.8872,65.625,64
train,1,4940,0.9217,62.1875,64
train,1,4950,0.8349,66.5625,64
train,1,4960,0.8648,68.125,64
train,1,4970,0.8621,65.0,64
train,1,4980,0.9146,63.4375,64
train,1,4990,0.8517,69.375,64
train,1,5000,0.8797,66.25,64
train,1,5010,0.866,67.1875,64
train,1,5020,0.9172,62.1875,64
train,1,5030,0.7819,72.5,64
train,1,5040,0.8563,69.0625,64
train,1,5050,0.81,71.25,64
train,1,5060,0.9287,65.625,64
train,1,5070,0.8614,68.125,64
train,1,5080,0.8771,65.0,64
train,1,5090,0.8512,67.1875,64
train,1,5100,0.7811,69.375,64
train,1,5110,0.8834,67.5,64
train,1,5120,0.7933,70.9375,64
validation,1,5120,0.9217,64.94,64
train,1,5130,0.8236,64.375,64
train,1,5140,0.8957,67.5,64
train,1,5150,0.7989,72.5,64
train,1,5160,0.8529,65.625,64
train,1,5170,0.8087,69.0625,64
train,1,5180,0.8184,65.625,64
train,1,5190,0.8667,66.25,64
train,1,5200,0.766,73.4375,64
train,1,5210,0.8333,64.6875,64
train,1,5220,0.8531,69.375,64
train,1,5230,0.7865,69.375,64
train,1,5240,0.8822,63.125,64
train,1,5250,0.9517,58.125,64
train,1,5260,0.8725,65.3125,64
train,1,5270,0.8417,66.25,64
train,1,5280,0.9557,62.1875,64
train,1,5290,0.8231,69.0625,64
train,1,5300,0.7328,71.875,64
train,1,5310,0.812,71.25,64
train,1,5320,0.783,72.1875,64
train,1,5330,0.8965,66.25,64
train,1,5340,0.8873,66.25,64
train,1,5350,0.925,65.0,64
train,1,5360,0.7973,70.0,64
train,1,5370,0.8476,68.4375,64
train,1,5380,0.7993,69.375,64
train,1,5390,0.7286,70.625,64
train,1,5400,0.8079,68.75,63.975
train,1,5410,0.7846,68.75,64
train,1,5420,0.7168,73.75,64
train,1,5430,0.8651,67.5,64
train,1,5440,0.8084,67.8125,64
train,1,5450,0.7449,72.5,64
train,1,5460,1.0081,63.75,64
train,1,5470,0.9043,63.4375,64
train,1,5480,0.8934,66.5625,64
train,1,5490,0.8162,71.5625,64
train,1,5500,0.7406,71.875,64
train,1,5510,0.8157,69.0625,64
train,1,5520,0.7559,69.375,64
train,1,5530,0.7573,70.9375,64
train,1,5540,0.7987,69.0625,64
train,1,5550,0.7107,71.875,64
train,1,5560,0.8319,65.625,64
train,1,5570,0.7878,69.375,64
train,1,5580,0.7525,71.25,64
train,1,5590,0.8086,65.9375,64
train,1,5600,0.7703,71.5625,64
train,1,5610,0.7654,68.75,64
train,1,5620,0.7625,67.1875,64
train,1,5630,0.6965,74.6875,64
validation,1,5632,0.7542,70.64,63.9944
train,1,5640,0.6726,74.0625,64
train,1,5650,0.7222,71.25,63.9219
train,1,5660,0.719,75.3125,64
train,1,5670,0.7549,70.9375,64
train,1,5680,0.8931,65.625,64
train,1,5690,0.7682,69.6875,63.925
train,1,5700,0.7594,73.125,64
train,1,5710,0.7017,71.25,63.7563
train,1,5720,0.7962,68.125,61.6344
train,1,5730,0.7582,71.5625,61.7
train,1,5740,0.7761,70.625,63.4406
train,1,5750,0.7564,70.0,63.4594
train,1,5760,0.6709,74.0625,63.5094
train,1,5770,0.6812,72.5,63.3781
train,1,5780,0.7008,74.0625,63.4875
train,1,5790,0.6713,74.0625,63.5344
train,1,5800,0.7596,70.3125,63.4
train,1,5810,0.6527,76.25,63.5594
train,1,5820,0.6514,75.625,63.8719
train,1,5830,0.7333,72.1875,63.925
train,1,5840,0.7761,72.1875,64
train,1,5850,0.6499,74.6875,64
train,1,5860,0.6611,76.875,64
train,1,5870,0.7737,69.375,64
train,1,5880,0.7497,68.4375,64
train,1,5890,0.6857,71.5625,63.9125
train,1,5900,0.6315,76.5625,64
train,1,5910,0.7712,71.875,64
train,1,5920,0.7441,68.125,63.8719
train,1,5930,0.6747,72.1875,64
train,1,5940,0.7873,71.25,64
train,1,5950,0.9288,68.125,63.9844
train,1,5960,0.7897,71.875,64
train,1,5970,0.7401,72.5,63.8937
train,1,5980,0.6488,78.125,64
train,1,5990,0.7291,68.125,63.9062
train,1,6000,0.6336,76.5625,64
train,1,6010,0.7459,71.25,63.85
train,1,6020,0.6084,77.5,63.6375
train,1,6030,0.6241,78.125,64
train,1,6040,0.6316,74.6875,64
train,1,6050,0.6408,77.1875,64
train,1,6060,0.6478,74.0625,64
train,1,6070,0.6556,77.5,64
train,1,6080,0.5809,79.0625,63.9312
train,1,6090,0.7016,71.5625,64
train,1,6100,0.6814,71.875,64
train,1,6110,0.6512,77.8125,64
train,1,6120,0.6994,72.8125,63.9656
train,1,6130,0.6109,75.9375,64
train,1,6140,0.6855,72.1875,64
validation,1,6144,0.7027,72.5,63.9922
train,1,6150,0.6622,75.0,64
train,1,6160,0.6027,77.1875,64
train,1,6170,0.6512,75.625,64
train,1,6180,0.6399,74.0625,64
train,1,6190,0.6254,75.625,64
train,1,6200,0.7183,74.375,64
train,1,6210,0.5987,80.3125,64
train,1,6220,0.7163,72.1875,64
train,1,6230,0.684,75.9375,64
train,1,6240,0.6549,75.0,64
train,1,6250,0.6755,77.1875,63.8875
train,1,6260,0.6414,75.0,63.975
train,1,6270,0.6636,74.375,64
train,1,6280,0.6695,74.0625,64
train,1,6290,0.6395,75.9375,63.9312
train,1,6300,0.6503,75.0,64
train,1,6310,0.7305,73.4375,63.9094
train,1,6320,0.6517,76.875,63.6469
train,1,6330,0.6525,76.25,63.4406
train,1,6340,0.6788,76.25,62.4125
train,1,6350,0.7384,73.125,61.3656
train,1,6360,0.7641,71.5625,60.1344
train,1,6370,0.7208,75.3125,56.5094
train,1,6380,0.6267,79.375,54.3375
train,1,6390,0.6338,74.375,56.1
train,1,6400,0.6028,77.8125,56.8156
train,1,6410,0.5784,78.4375,55.8563
train,1,6420,0.6563,76.5625,53.1938
train,1,6430,0.5243,82.8125,47.9562
train,1,6440,0.5381,79.0625,50.4344
train,1,6450,0.6103,79.375,50.0562
train,2,6460,0.5847,80.625,48.9188
train,2,6470,0.5706,79.0625,50.5063
train,2,6480,0.517,81.25,48.2719
train,2,6490,0.5158,82.5,49.1656
train,2,6500,0.5356,80.0,50.9156
train,2,6510,0.5294,84.375,54.1156
train,2,6520,0.616,77.1875,54.5656
train,2,6530,0.5341,84.375,54.4344
train,2,6540,0.6099,76.875,53.2031
train,2,6550,0.5109,83.125,52.9688
train,2,6560,0.5214,80.9375,52.55
train,2,6570,0.5413,80.3125,52.1094
train,2,6580,0.4615,82.1875,49.7594
train,2,6590,0.4878,81.5625,52.3594
train,2,6600,0.4447,85.3125,52.1313
train,2,6610,0.5054,80.625,50.4219
train,2,6620,0.4725,81.25,49.475
train,2,6630,0.4725,81.25,51.1187
train,2,6640,0.4633,83.125,51.9813
train,2,6650,0.4872,80.9375,51.125
validation,2,6656,0.5226,80.68,54.7036
train,2,6660,0.5543,78.75,53.1938
train,2,6670,0.5366,82.5,51.4062
train,2,6680,0.5226,80.9375,54.2219
train,2,6690,0.5102,82.8125,53.05
train,2,6700,0.5232,81.875,55.5281
train,2,6710,0.5069,84.6875,54.4562
train,2,6720,0.4886,83.75,53.0063
train,2,6730,0.4475,83.4375,55.1531
train,2,6740,0.4736,83.125,57.3312
train,2,6750,0.6055,79.6875,56.7281
train,2,6760,0.6407,75.625,58.075
train,2,6770,0.6485,72.8125,57.3125
train,2,6780,0.5325,79.0625,58.2406
train,2,6790,0.5044,79.6875,57.6719
train,2,6800,0.5247,80.625,57.6437
train,2,6810,0.577,79.0625,56.4688
train,2,6820,0.5557,81.875,58.3031
train,2,6830,0.495,84.6875,58.2125
train,2,6840,0.4999,82.1875,53.6313
